label,sentence
1,[哈哈][哈哈][哈哈][爱你][哈哈][爱你][哈哈]
0,又是这个话题，每次一谈到这个话题，肯定是以争吵而告终~[抓狂]
1,"#三亚见闻# ""鸭子论打卖？！7月31日，(via @好摄之友) 在三亚见到一位年轻的鸭老板，他的鸭是论“打”卖的，每打12只，计360元。鸭老板在用过的编织袋一面，剪成均匀的12个小孔，鸭子固定双脚后装袋，再将鸭头分别通过小孔拉出袋外，装满12只，扎紧袋口.""老板说，这样鸭子不会闷，又一目了然。[嘻嘻]"
0,特想不顾一切的冲过去了，现在是吃牛肝菌的季节！恨！[抓狂]
0,[晕] //@寂寞小羊倌:转发微博
1,@半自动河马  @傅瑶良 这句话的意思是，当你角色挂了，如果你的技能和血瓶还有没在cd的，还有精气没用完，那是你没尽全力[嘻嘻] @暗黑破坏神
0,喊你拍我你居然不动，嫌弃我长的难看吗？[抓狂]
1,丽江，水煮草莓吃起来[哈哈]
0,一杆大旗倒下了！[泪][泪][泪][蜡烛]//@纲丝-竹板书: [蜡烛]非著名的老艺术家，为自己热爱的艺术奉献一辈子的艺术家，望老人家走好。
1,三个字形容 好极了[哈哈]
0,鞋盒子里其实都是检讨书 //@石家大小姐:@宋玉洁Caroline 我想到我初恋男友了[晕][泪] //@石家大小姐:收情书是件多么浪漫的事情啊！以前我那个装情书的鞋盒子呢？？？？哈哈。
1,[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][good]
1,@高雅哈密瓜就是李雪阳 生日快乐[哈哈][蛋糕][蛋糕][蛋糕][蛋糕][蛋糕] 我在:http://t.cn/zjBnm3G
0,[怒]混蛋
0,我的GF1老了[泪] //@幸运尾巴狼:感谢@维师 今晚的招待，@保庇来 @别特洛夫 我决定晚点也来一发了，不能再赞。@BG4VHP 你要的样片。
1,一家亲[嘻嘻] 我在:http://t.cn/zlIbLZo
1,@懒人业余餐厅  这里有女人帮的拍摄场景。我特别喜欢三哥，还给我打包了燕窝酥。[爱你]
1,"现在也有这样的硬讲英文的书籍，偶爸妈来英国前就买过这样的书，后来仍在车里，米有人问津。偶有一次翻到，把我吓到了。[嘻嘻] //@KELLY林大小姐:洋泾浜英文老有劲额。上海滩老克勒采是咯能学英文硬讲英文。我到现在还记得阿拉爷的英文课本里small伊记了谐音""死猫""，笑死忒宁啦。"
1,回复@幸福小女人zs:谢谢亲的夸奖，以后常来哦！[嘻嘻] //@幸福小女人zs: @都太海鲜自助 正在品尝你们的美食，雪蟹真是太美味了，大爱[鼓掌][鼓掌][鼓掌] //@都太海鲜自助:欢迎亲来品尝哦~~~~ //@幸福的姗姗1984: 没尝过！有机会一定亲自品尝
0,坐在自行车就能笑了？美的你吧，北京的PM2.5全让你给收入肺里了。倒是为北京的蓝天目标做些贡献了啊[哈哈]//@包一峰: 世界首创立体开放式车展 //@内存再设计的力量:今天三元桥至国贸跑了1小时22分8秒 ，[泪] //@大美妞张文文:就这状态！泪流满面[泪]
0,粗来透透风?用某童鞋的手机发个围脖[兔子][兔子][兔子]?我的手机依然死在家里[泪][泪][泪][泪]?不想一个人回家(T ^ T)@唐乐乐假装很淑女
0,特别不明白，ufo不是都来了吗，叫兽为啥还挂掉了？[晕][晕][晕]
0,刘海涛老师倾力打造的半个月亮 让我们红极一时 事过境迁依然沉浸在那份欢愉里 可否还有机会相聚 再续清唱组合的旋律？[失望]
1,这值得深思！ 我怎么就轻易的把妹妹给卖了呢？到现在还没收回来钱！最后人财两空[晕][晕][晕][晕] 谁买了我的资产？封口费给我！[哈哈][哈哈][哈哈]@行者商道？[思考]案例启示：企业处置不良资产最有效的方式是包装转让，而非丢弃和自己消化。后续：小三给了原老板一百万的封口费，实现了资金的回笼。
1,今天头顶的云好像在说，我爱你。美的没话说。[爱你][爱你][爱你]???
1,[心]//@宁夏小伟子: 这还是我做的活动[哈哈]@郝浩 @江苏科技大学电信学院鸿飞义工站 @江苏科技大学-三自协会 @江苏科技大学电信学院学生会
1,[嘻嘻]//@田慎鹏:汪峰是谁？
0,咋做吖？[晕]
1,回复@像库里一样投篮好不好V:嘻嘻，那会阳光特别舒服，特意拍的[哈哈]亲看的仔细[嘻嘻][嘻嘻] //@像库里一样投篮好不好V:第3张图暴露了你@简安然 [嘻嘻] //@新浪武汉汽车:这是哪里？太帅了[嘻嘻]
0,今天走两家代理。一家在江宁路，另个在浦东民生路，暴走的一下午[泪]
0,[嘻嘻] //@apple长草:脱了秋裤[偷笑] //@小恶魔是我就是我:红裤裤加蕾丝袜[晕]
1,//@邓飞:昆明，@春城晚报 重磅助力@微博打拐 ，诚挚致谢。[鼓掌]
1,[衰]2011年愚人节 我堂哥跟我说他媳妇跟人跑了 害我安慰他半天 //@新鲜旅厦门: 谁的青春不愚人？扒一扒那些年你的#愚人节?事#，让A门浪乐呵乐呵！[哈哈]
0,早起恐惧症，让三点睡的人，九点就醒了。[泪]
0,前天刚给老婆买了一台苹果的本儿今天就听到老乔没了的消息。纪念一下吧！短暂但辉煌的人生[泪]
1,顶呀顶 //@周?-小尖果儿:都来啦[太开心] //@天津相声俱乐部:大半夜的转一个[嘻嘻]，都来呀！[太开心]  //@谦祥益:就在今天，我们不见不散！
1,永远的R9 //@我为球狂Ronaldo鹏:[泪] 永远为你骄傲！[爱你]
1,隆冬季节最适合来@无禅居 吃豪气十足的“杀猪宴”[馋嘴]云南的撒坝猪，系乌金猪的一个重要类型，2006年前只剩2000多只被列为国家级畜禽遗传资源保护品种。两大特点猪头深深的八卦纹太像猪八戒了吧[嘻嘻]还有腿穿套裤！里脊肉细细的纹路不是纯瘦、酱猪各部位绝对好久没吃的猪肉味儿。谢谢送俺的一箱鲜肉
0,美心??一份餐，?已?到hkd 55[抓狂] ?@香港中旅港澳游  不接待?餐??低於hkd60 的?持，童鞋?是不是多了一重理解呢？
0,继续看直播[怒]
0,"好?人查的。 //@生鬼皇妃:回覆 @ET胃食妹 : 之前???前我都仲可以?, 而家要等一段??白番先得~[失望] // @ET胃食妹 :回复 @生鬼皇妃 : 你都白呀!!"
0,同唉~[泪] //@-苑硕-:唉
1,斌斌，要看淡哦，好多事还是顺其自然的好[可爱]
1,google 地图真心靠谱诶~连票价都给显示出来啦[耶][鼓掌][good]
0,车轮胎憋了，开到kwik fit去修。无聊的等啊等，都快两点了，我早已饥肠辘辘[泪]
0,想起我主持的一个形象代言人的选秀活动，内定了，宣布结果的时候，评委推椅子就走，没人颁奖了[衰] //@无修不行:@魔豆cici @小啾咔 小黑去都有戏~//@闹闹紫紫: 哈哈哈哈 //@米虫儿CC:哎呦我去~~~~//@宽窄网Nina: [lb啊]
1,//@周边游张文龙: [哈哈]
1,画的不太和比例，应该给日本画小点 //@白菜帮MOGO://@大盔: //@Darth_Panda: [哈哈] //@YANKIMA:会画画真好……[km呜呜1]
0,今天早上风大，央视办公楼前，白岩松停车遇到撒贝宁，事故发生了： 小撒，你看我的新发型潮不潮？！我靠，小撒，你冷静点！小撒，你听我说…我尼玛是岩松啊！！我靠，我靠，你丫再没完没了我可还手了！[怒][怒][怒][偷笑][偷笑]
0,#比如唠叨与琐碎#连着两天约会取消！！这个世界还有没有节操有没有下限啊！！！[哼][失望][抓狂][衰][泪][xb压力]再这样我真的要叫全家桶了啊！！！[奥特曼]一直饿一直想吃东西一直空虚无以为继……我想边开会边吃全家桶有错么？！[泪流满面][打哈欠][挖鼻屎]
0,还剩9根呀! //@june09：出题老师脑袋也被驴踢过~考试还玩脑筋急转弯！//@尼吉平Sickee：小学的数学题，需要这样么[泪]
0,补图补图！昨晚法鲁玛晚餐厅遇到的惊喜浪漫！餐厅突然熄灯，waiter 推着点满烛火餐车出现，上面布置精心，一个生日蛋糕和一颗红心。推到老少日本男前少男吹灭了蜡烛[挖鼻屎][挖鼻屎]。我Ask的后拍了照片，一些关系理还乱，看着如父子但[晕][晕] 。整理照片发现了我无意中还拍到他们的身影。
0,是的。服务整个体系都有问题 //@我叫刘小妖:办入住的那个人居然没有发现多了个身份证吗？如果发现了酒店为什么没有在第一时间联系客人，主动承认错误？看来现在需要提升的不止是员工，还有值班经理啊[失望]
1,车票买上啦……[哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈]
0,本宫洗澡时居然有狗仔偷拍[怒]。。。据说吃手神马的拍照最萌了，试一个。。。洗这只手了要换只手摆破斯。。。本宫乏了，你们跪安吧[酷]
1,[哈哈]//@杨晓春:哈哈哈//@刘毅:太狠啦[汗] //@爸爸爱喜禾:[偷笑]//@编剧徐磊: [哈哈] //@胡淑芬: 哈哈//@it女民工:笑抽了[哈哈]
1,我去探视，coco真棒！[爱你][爱你][爱你]
1,#海南旅游攻略# 【不要拥挤和人群 绿色白沙独享风景游】白沙这个淳朴又迷人的地方，深藏着很多小众美景。最美的风景是不沾染市侩气息的，白沙没有被破坏的自然美景和淳朴的黎族风情，正是最大诱惑。海南不只有大海和沙滩，还有值得细细品味的，类似白沙。[爱你]白沙详细攻略戳：http://t.cn/z8epxCS
1,希望是尽早送给你哈。 //@京晶正能量:赶脚这书哥哥铁定给我预留了一本！[哈哈][哈哈]
1,27号去吃你！[哈哈] //@快乐美厨娘:@ [鼓掌]
